napięcie natęrzenie
0	0
0.1	0.011400254
0.2	0.022800507
0.3	0.034200761
0.4	0.045601014
0.5	0.057001268
0.6	0.068401521
0.7	0.079801775
0.8	0.091202028
0.9	0.102602282
1	0.110335
1.1	0.115720324
1.2	0.120865937
1.3	0.125801256
1.4	0.130550133
1.5	0.135132225
1.6	0.139563962
1.7	0.143859239
1.8	0.148029936
1.9	0.152086302
2	0.156037253
2.1	0.159890605
2.2	0.163653252
2.3	0.167331312
2.4	0.170930247
2.5	0.174454953
2.6	0.177909842
2.7	0.181298905
2.8	0.184625768
2.9	0.187893734
3	0.191105826
3.1	0.194264814
3.2	0.197373248
3.3	0.200433481
3.4	0.203447688
3.5	0.206417884
3.6	0.209345943
3.7	0.21223361
3.8	0.215082511
3.9	0.217894166
4	0.22067
4.1	0.223411347
4.2	0.226119463
4.3	0.228795526
4.4	0.231440649
4.5	0.23405588
4.6	0.236642211
4.7	0.23920058
4.8	0.241731874
4.9	0.244236934
5	0.24671656
5.1	0.249171512
5.2	0.251602511
5.3	0.254010245
5.4	0.256395371
5.5	0.258758511
5.6	0.261100265
5.7	0.263421202
5.8	0.265721868
5.9	0.268002784
